playerid,p_HBP,p_SHO,b_AB,p_L,p_SV,p_GF,p_CG,p_R,b_HBP,b_GIDP,b_BB,b_H,b_SH,b_IBB,b_2B,b_3B,b_SB,b_RBI,b_SO,b_G,p_W,b_R,classification
beckegl01,NULL,NULL,5208,NULL,NULL,NULL,NULL,NULL,19,114,260,1473,58,3,196,31,49,360,243,1320,NULL,685,0
becklja01,0,0,9526,1,0,0,0,8,183,0,616,2930,145,0,473,243,315,1575,270,2386,0,1600,1
beckro01,20,0,19,45,286,519,0,308,0,0,0,4,1,0,0,0,0,1,10,704,38,0,0
bedrost01,27,0,153,79,184,439,0,496,0,0,3,15,12,0,0,0,0,2,58,732,76,3,0
belanma01,NULL,NULL,5784,NULL,NULL,NULL,NULL,NULL,42,83,576,1316,155,22,175,33,167,389,839,2016,NULL,676,0
bellbu01,NULL,NULL,8995,NULL,NULL,NULL,NULL,NULL,38,255,836,2514,60,84,425,56,55,1106,776,2405,NULL,1151,0
bellco99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
belleal01,NULL,NULL,5853,NULL,NULL,NULL,NULL,NULL,55,193,683,1726,4,91,389,21,88,1239,961,1539,NULL,974,0
bellge02,NULL,NULL,6123,NULL,NULL,NULL,NULL,NULL,49,165,331,1702,0,53,308,34,67,1002,771,1587,NULL,814,0
bellja01,NULL,NULL,7398,NULL,NULL,NULL,NULL,NULL,57,165,853,1963,159,25,394,67,91,860,1443,2063,NULL,1123,0
benchjo01,NULL,NULL,7658,NULL,NULL,NULL,NULL,NULL,19,201,891,2048,11,135,381,24,68,1376,1278,2158,NULL,1091,1
bendech01,102,40,1147,127,34,109,255,1110,10,0,75,243,42,0,40,10,20,116,48,507,212,102,0
benitar01,16,0,8,47,289,527,0,296,0,0,0,0,0,0,0,0,0,2,4,762,40,0,0
bennech01,NULL,NULL,3821,NULL,NULL,NULL,NULL,NULL,11,0,478,978,0,0,203,67,42,533,572,1062,NULL,549,0
bentola01,25,13,738,128,22,113,122,1190,4,2,30,122,52,0,12,2,1,42,181,462,127,54,0
bergema01,NULL,NULL,1278,NULL,NULL,NULL,NULL,NULL,10,0,52,339,15,0,44,15,24,176,22,344,NULL,180,0
